Нет я не бот | ты точно не бот?
какие планы на будущее? | Всем привет, сейчас минт идёт?
хорошей ночи бро | Да есть такое,сам иду скоро
Хорошо все правильно! | вот я и набиваю его
Нет, все вл пока набивают | Всем привет, сейчас минт идёт?
Приму во внимание. Спасибо! | Стоит заняться этим!
сейчас душевные беседы | Всем привет, сейчас минт идёт?
это о чём? | 365 дней
вот я и набиваю его | Это хороший список! Как получишь 15 лвл твои шансы возрастают
365 дней | Ребят, посоветуйте фильм
Стоит заняться этим! | К сожалению нет
ухх еще тот бандит местный | сегодня она с антоном ванагсом
волк с уолл стрит | Ребят, посоветуйте фильм
Это хороший список! Как получишь 15 лвл твои шансы возрастают | ну на даный момент 20 артов 19 инвайтов 4 мема 14 лвл 6 идей
Воу, много всего | ну на даный момент 20 артов 19 инвайтов 4 мема 14 лвл 6 идей
К сожалению нет | Супер! Делал арты?
сегодня она с антоном ванагсом | а сегодня с кем?
Супер! Делал арты? | Замечательное
ну на даный момент 20 артов 19 инвайтов 4 мема 14 лвл 6 идей | Все хорошо! Как успехи?
Замечательное | Привет как настроение
Привет как настроение | ооооо привет
а сегодня с кем? | лерка вчера была
Ждём её сегодня | лерка вчера была
Забей, это вообще другое | привет парни а че происходит с HYPEBEARSCLUB флор упал до 0.3...
Да есть такое,сам иду скоро | отлично, только спать хочется
Все хорошо! Как успехи? | норм сам как
ооооо привет | Салют всем как дела
ерша ебанешь? | Я пивко пью
отлично, только спать хочется | Салют всем как дела
Какие книги изучаешь? | изучаю книги:) и тебе советую;)
Я пивко пью | вот чай пью
это правильно | есть такое
норм сам как | Салют всем как дела
есть такое | грешишь братец)
сойдет | как успехи
❤️‍🔥 | Давай брат
вот чай пью | Нормально отдыхаю сейчас 
Ты как сам?Чем занимаешься?
грешишь братец) | со шлюхой только
Давай брат | сейчас наклипаю
изучаю книги:) и тебе советую;) | как же я слвб
Я на каждый  арт по 5 лайков накидываю | Почему люди так мало ствят лайков
сейчас наклипаю | За это сразу ВЛ дадут, делайте пока не поздно!
Нормально отдыхаю сейчас 
Ты как сам?Чем занимаешься? | как сами?
красава, как там расслабился? | я вернулся тигры
❤️ | классный
спасибо чуваки | пххпхпхп это топ
Нужно работать день и ночь чтобы набить лвл | Терпение, только терпение
не волнуйся парень  с опытом все придет | как же я слвб
андрюха дарова | я вернулся тигры
За это сразу ВЛ дадут, делайте пока не поздно! | Чуваки ну я считаю это самый удачный арт с зубами! Че скажите?❤️ https://discord.com/channels/921814203734585344/921814205206765616/941428505546203216
классный | Чуваки ну я считаю это самый удачный арт с зубами! Че скажите?❤️ https://discord.com/channels/921814203734585344/921814205206765616/941428505546203216
пххпхпхп это топ | Чуваки ну я считаю это самый удачный арт с зубами! Че скажите?❤️ https://discord.com/channels/921814203734585344/921814205206765616/941428505546203216
Терпение, только терпение | как же я слвб
ну. вот так | а че так HYPEBEARSCLUB падают то
на пк если то сверху поиск | Парни, где колво сообщений чекнуть?
только без пробела | / message пишешь например тут #check-rank
/ message пишешь например тут #check-rank | Парни, где колво сообщений чекнуть?
8лет | сколько тебе лет бенчик?
они быстрее высохнут там | они дождутся своего момента бро
хвала инквизиции! | айййй грешник
биг бен | умеренный
умеренный | большой бен забрал этот 5 лвл
пкпкххкпах | айййй грешник
они дождутся своего момента бро | у меня уже 2 года лежат в шкафу две упаовки по 12
чисто на опыте раскидал | я на опыте бра) знаю что говорю
большой бен забрал этот 5 лвл | никоглай или иван золо
Играю иногда | как в игры играешь ?
у меня уже 2 года лежат в шкафу две упаовки по 12 | больше 3 раз обычно девочки не хотят, да и пачки по 3 продают(
Хорошо 
Начинаем наше сотрудничество | Давай, будем сотрудничать😂👌🏿😎
как в игры играешь ? | Стараюсь
я на опыте бра) знаю что говорю | совет от профессионала)
Давай, будем сотрудничать😂👌🏿😎 | Хорошо буду обязательно
больше 3 раз обычно девочки не хотят, да и пачки по 3 продают( | почему именно 3?
совет от профессионала) | души ее и держи ее руки чтобы она не могла ими двигать
А то может появиться ещё одна девушка) тонкий юмор* | второе, никогда не отпускай свою девушку на вписку
Стараюсь | Пока малой развивайся, потом поймешь со временим
Дороу | вечер добрый)
эх молодёж. :) | скоро 18
Все умники | Фигасе тут мегамозги собрались
почему именно 3? | всегда держи при себе 3 презерватива
Пока малой развивайся, потом поймешь со временим | 15
Хорошо буду обязательно | Дальше рофли так, у меня получается много сообщений писать в таком случае😂😂😅🦾
16,5 уже | у кого какой лвл?
скоро 18 | у кого какой лвл?
Самое главное правило в жизни | второе, никогда не отпускай свою девушку на вписку
Дальше рофли так, у меня получается много сообщений писать в таком случае😂😂😅🦾 | Я  же рофлю,это все не всерьёз
тут небьют 😅 | Не бейте
Не бейте | тогда понатно
так да | никогда, нада читать
тогда понатно | 15
я тебе как опытный дядя дам пару советов | честно говоря, даже не знаю какой дать тебе совет. попробуй забыть
Я  же рофлю,это все не всерьёз | Молодой, глупый...😕
никогда, нада читать | книги никогда не ждут)
15 | книги могут подождать 😂😂😂, тебе сколько товарищ
честно говоря, даже не знаю какой дать тебе совет. попробуй забыть | лучше одной ручкой писечку теребить
большой бен, я расскажу толк в этом деле | наклонился, взял за скулы, засосал
Молодой, глупый...😕 | Буду красть водку в магазинах и все жизнь в кайф
книги никогда не ждут) | книги могут подождать 😂😂😂, тебе сколько товарищ
лучше одной ручкой писечку теребить | наклонился, взял за скулы, засосал
Привет, время от времени залетаем сюда | Как вы тут? Держитель?
наклонился, взял за скулы, засосал | нада как кровь из носа, чтоб не быть дурачком 😬
А твой мозг не подождет, его мощности может не хватить потом чтобы потом управлять большими деньгами | Мне кажется что книги могут подождать
😂😂 | Буду красть водку в магазинах и все жизнь в кайф
у меня 1150 | 2400
Вооу, мододец | 2400
Согласен 
Криперы | Это будут твои конкуренты, но убивать их научишься по другому)
вроде справляемся | Как вы тут? Держитель?
2400 | а кст, у кого сколько сообщений?
Буду красть водку в магазинах и все жизнь в кайф | Это жизнь твоей мечты? Денег на бухло на недели 2 максимум хватит, а ещё 2 недели трезвым как-то жить придется до след пенсии 😂😂
расслабиться и выдохнуть))) | Так что не все потеряно,нужно с малых лет работать и что-то делать
нада как кровь из носа, чтоб не быть дурачком 😬 | это точно
Это будут твои конкуренты, но убивать их научишься по другому) | Это правильно 
Крипов в реальной жизни убивать
Это жизнь твоей мечты? Денег на бухло на недели 2 максимум хватит, а ещё 2 недели трезвым как-то жить придется до след пенсии 😂😂 | Я буду бухать просто и все
это точно | словарный запас прилично розвевает
словарный запас прилично розвевает | очень развивает мышление
спасибо, буду знать | Твоя жизнь это путин, высокие налоги, мизерная пенсия, которой хватит только на уплату налогов и т.п.
Так что не все потеряно,нужно с малых лет работать и что-то делать | вот именно
чем раньше тем лучше | 16 тоже довольно рано
Есть такое | У тебя заело?
Мне кажется что книги могут подождать | Читай книги пока молод, чтобы потом  играть в майнкрафт в реальной жизни
это надо | парни тоже советую книги читать
Это правильно 
Крипов в реальной жизни убивать | Читай книги пока молод, чтобы потом  играть в майнкрафт в реальной жизни
У тебя заело? | ОУ ШИТ
вот именно | Тут есть люди которым по 30лет
Читай книги пока молод, чтобы потом  играть в майнкрафт в реальной жизни | Я знаю но Майнкрафт это моя жизнь
mc^2 | все равно харош
Тут есть люди которым по 30лет | 16 тоже довольно рано
ОУ ШИТ | Твоя жизнь это путин, высокие налоги, мизерная пенсия, которой хватит только на уплату налогов и т.п.
😂😂 | Твоя жизнь это путин, высокие налоги, мизерная пенсия, которой хватит только на уплату налогов и т.п.
Я буду бухать просто и все | Твоя жизнь это путин, высокие налоги, мизерная пенсия, которой хватит только на уплату налогов и т.п.
16 тоже довольно рано | понял бы только я это хоть немного раньше, а не в 16
кххкпахпхкхп согласен | Совет уровня - Бог
Твоя жизнь это путин, высокие налоги, мизерная пенсия, которой хватит только на уплату налогов и т.п. | Я знаю но Майнкрафт это моя жизнь
понял бы только я это хоть немного раньше, а не в 16 | ты говоришь на языке фактов бро)
потому-что утром нужно завтракать. завтрак съешь сам, обедом поделись с другом, а ужин отдай врагу | Согласен! Я вот хлопок собираю по утрам
Совет уровня - Бог | потрать время которые тратишь на майнкрафт, на что-то более полезное
все равно харош | Я же рофлю мне 18 лет
ах же пиздун)) | Я же рофлю мне 18 лет
Я же рофлю мне 18 лет | потрать время которые тратишь на майнкрафт, на что-то более полезное
ты говоришь на языке фактов бро) | потрать время которые тратишь на майнкрафт, на что-то более полезное
Спасибо! Ты тоже топ | ой харош парень
потрать время которые тратишь на майнкрафт, на что-то более полезное | Нужно с малых лет работать
Я агрошкольник играю в Майнкрафт
красавец | именно там
Я знаю но Майнкрафт это моя жизнь | Забей на матнкрафт, то время которое ты на него тратишь, в будущем никаких плодов не даст
именно там | не в бангладеше случаем?
ой харош парень | Мне 12 лет 
В 6 класс учусь
Забей на матнкрафт, то время которое ты на него тратишь, в будущем никаких плодов не даст | Нужно с малых лет работать
Я агрошкольник играю в Майнкрафт
не в бангладеше случаем? | Согласен! Я вот хлопок собираю по утрам
Всякое в жизни бывает | Согласен! Я вот хлопок собираю по утрам
Согласен! Я вот хлопок собираю по утрам | Нужно с малых лет работать
Я агрошкольник играю в Майнкрафт
я такой) | довольно сложно
у меня такие же болваны были) | Мои одноклассники до 11 класса в телефоне только умели машинкой управлять и какие-то стрелялочки клацать
оу шит | Мои одноклассники до 11 класса в телефоне только умели машинкой управлять и какие-то стрелялочки клацать
Нужно с малых лет работать
Я агрошкольник играю в Майнкрафт | 👍🏻 молодой пахарь
Мои одноклассники до 11 класса в телефоне только умели машинкой управлять и какие-то стрелялочки клацать | 👍🏻 молодой пахарь
красава, что с раннего возраста уже делом занимаешься | Мне 12 лет 
В 6 класс учусь
вот как-то вот так? | я как-то устаю после часа уже
вручную выбирают | Ну как вл выдаётся по тикетам или модеры выбирают?
и то и то одновременно | Ну как вл выдаётся по тикетам или модеры выбирают?
харош, тоже люблю | о баньку люблю
Ну как вл выдаётся по тикетам или модеры выбирают? | ?
Фотошоп и иллюстратор | а ты в какой проге делала?
👍🏻 молодой пахарь | Мне 12 лет 
В 6 класс учусь
? | Тикеты?
^_^ | Взаимно
Тикеты? | довольно сложно
о баньку люблю | сходил в баньку разве что, а так да
довольно сложно | А тут как сложно вл выбиваются по тикетам?
сходил в баньку разве что, а так да | нон стопом?
Выбил я этот вл неделю продовад так никто и не купил | ооо Kong  залетел 😅
Взаимно | рад знавомству
Они мыслили как-то по другому, и юмор, поведение, черты характера мне не очень нравились, думаю по этому, обычно мы очень похожи с нашими друзьями, по этому с армянами больше общался | почему?
рад знавомству | Мне 12 лет 
В 6 класс учусь
нон стопом? | все так же разговариваю тут
ооо Kong  залетел 😅 | Привет ребят
вот как-то вот так? | вот как-то вот так
а ты в какой проге делала? | 17 лвл добила, 24 инвайта и два арта, получила*
Мне 12 лет 
В 6 класс учусь | Кому сколько лет?
все так же разговариваю тут | все путем, в зальчик сходил позанимался, как сам?
и сидел в мейне как мы? | не братан не зря, у меня кент уже получил
17 лвл добила, 24 инвайта и два арта, получила* | как вл получил?
есть такое | в main чате параша какая-то
все путем, в зальчик сходил позанимался, как сам? | как отдохнул сегодня?
вот как-то вот так | вот как-то вот так?
не братан не зря, у меня кент уже получил | б.я, надеюсь стараемся не зря 😅
вот как-то вот так? | взбодриться как-то бы
Перспектива) | что думаете на счте проекта?
почему? | Нормальные ребята, в школе хоть сам и русский, с русскими не особо корешился
как отдохнул сегодня? | вопросик новичкам
б.я, надеюсь стараемся не зря 😅 | согласен) скоро все будем с вл сидеть😂
та ладно он просто набивает сообщения | хватит на мои сообщения отвечать!
как вл получил? | хватит на мои сообщения отвечать!
Нормальные ребята, в школе хоть сам и русский, с русскими не особо корешился | я тоже с ними кентуюсь😂
хватит на мои сообщения отвечать! | xd
xd | ахахахаха,кумык*
согласен) скоро все будем с вл сидеть😂 | да и тебе , наконецто на нашем написались , а то в мейне только 🤝😅
Годный проект | вопросик новичкам
Как тебе удобно 😂😁 💐 | ахахахаха,кумык*
спасибо | Ничего Прощаю
я тоже с ними кентуюсь😂 | Хотя с Армянами кентуюсь, все думают что я армянин
да и тебе , наконецто на нашем написались , а то в мейне только 🤝😅 | удачки тебе)
Ничего Прощаю | прости
Хотя с Армянами кентуюсь, все думают что я армянин | Для тебя буду кумыч😅 а вообще больше русский)
😂😂😂 | ахахахаха,кумык*
прости | Я не спамлю
ахахахаха,кумык* | Для тебя буду кумыч😅 а вообще больше русский)
Согласен! Но работать также нужно | а что так? Сон очень полезен )
Для тебя буду кумыч😅 а вообще больше русский) | кумычка, ты чеченец?
не за что :3 | Нормально так
Я не спамлю | хватит спамить!
удачки тебе) | нууу 👏🏼
Нормально так | 300+
хватит спамить! | Д жанклот вандам терминатор
🤜🏿🤛🏿 | хорошо брат
а что так? Сон очень полезен ) | Не скоро точно
300+ | И какой у тебя лвл за неделю?
Это мое второе имя, для другого чата 😂😂😂 | Д жанклот вандам терминатор
кумычка, ты чеченец? | Ооо, это не далеко от меня😅 а ты кто по национальности?
Не скоро точно | Когда спать пойдете?
И какой у тебя лвл за неделю? | я здесь сравнительно недавно
Ооо, это не далеко от меня😅 а ты кто по национальности? | даа, большинство приезжие,я тоже, я из дагестана,но сейчас в спб живу
нууу 👏🏼 | оно все окупается , потом можно чинить и общаться со всеми с пивом чисто)
хорошо брат | Называй меня Зубренко Михаил Петрович ✊🏿🤵🏻😎
я здесь сравнительно недавно | давно сидишь тут?
Д жанклот вандам терминатор | Называй меня Зубренко Михаил Петрович ✊🏿🤵🏻😎
спасибо бро | справишься)₽
Называй меня Зубренко Михаил Петрович ✊🏿🤵🏻😎 | антон, а тебя?
справишься)₽ | очень надеюсь на то, что справлюсь
давно сидишь тут? | да, верно
да, верно | актив в чате арты мемы помощь комьюнити инвайты
как иначе 😅 | я тоже серьезно настроен
Будем работать | я тоже серьезно настроен
Нет) я с мышлением, которое имеет полочки, где все на своих местах должно быть) | ахахахаха,ты что не толерантный!
справишься | очень надеюсь на то, что справлюсь
даа, большинство приезжие,я тоже, я из дагестана,но сейчас в спб живу | Как заметил тут многие из спб
очень надеюсь на то, что справлюсь | красавчик так держать
антон, а тебя? | Обращайся💪🏿 а тебя как звать?
красавчик так держать | не хочу спать идти пока не получу заветное
еееееееее! | Норм
актив в чате арты мемы помощь комьюнити инвайты | Здарова, что нужно для вл?
не хочу спать идти пока не получу заветное | есть варик тебе сейчас лечь, проснуться к 7:30 - 8
ахахахаха,ты что не толерантный! | Я не встречал, но нужно проверять, в наших рядах такое недопустимо😂🦾
Обращайся💪🏿 а тебя как звать? | буду обращаться в случае чего
благодара | сексопильны
да братик я с минска | Мужики, кто есть с беларуси?
Как заметил тут многие из спб | спб,ты?
спс 🤝 | удачи тебе)
сексопильны | зацените арт https://cdn.discordapp.com/attachments/921814205206765616/941423280798191666/IMG_2112.jpg
так и сделал) | закидывай его в <#921814205206765616>
буду обращаться в случае чего | Всегда можешь ко мне обратиться)🤓
Я из Армавира | спб,ты?
закидывай его в <#921814205206765616> | зацените арт https://cdn.discordapp.com/attachments/921814205206765616/941423280798191666/IMG_2112.jpg
да не за что:) | спасибо друг
удачи тебе) | это у меня есть все и много, только левел еще 13 , добью 15 и жду ВЛ тоже 😬😊😊
Я не встречал, но нужно проверять, в наших рядах такое недопустимо😂🦾 | ахахахаха,тут и пацаны были с такими аватарками
нет( времени нет,подожди | А дм чекнуть не судьба 🧐
Норм | два арта нарисовала, 24 инвайта набрала, 17 лвл
есть варик тебе сейчас лечь, проснуться к 7:30 - 8 | плохо соображаю уже, глянь снова
тогда я просто ответила | не знаю, просто спросил
Всегда можешь ко мне обратиться)🤓 | спасибо друг
это у меня есть все и много, только левел еще 13 , добью 15 и жду ВЛ тоже 😬😊😊 | спасибо большое) да,просто ник меняется,когда несколько дней активничаешь,арты рисуешь,инвайты набираешь
А дм чекнуть не судьба 🧐 | а ты ничего🥺 даже деньги не скинул(
спб,ты? | А ты откуда,
Круто, молодец🤩 | два арта нарисовала, 24 инвайта набрала, 17 лвл
спасибо друг | Ты прав друг)
ахахахаха,тут и пацаны были с такими аватарками | Тут девушек не много, да и кто знает, что за пацан с розовым медведем😂
плохо соображаю уже, глянь снова | хорошей это как понять
Дерзко🤨 | внатуре!
не знаю, просто спросил | что спрашиваешь
два арта нарисовала, 24 инвайта набрала, 17 лвл | А как ты получила?
Ты прав друг) | поспать в хорошо проветренной комнате
хорошей это как понять | поспать в хорошо проветренной комнате
что спрашиваешь | а я у тебя спрашиваю
внатуре! | внатуре?
поспать в хорошо проветренной комнате | че от боли в голове лучше всего поможет ?
А ты откуда, | ахахаха, я уже получила свой вл)
спасибо большое) да,просто ник меняется,когда несколько дней активничаешь,арты рисуешь,инвайты набираешь | <@939866847472414751>  ооо поздрявляю с ВЛ  💪🏼💯💯 , а как это вообще происходит, просто розовой становишься?
Тут девушек не много, да и кто знает, что за пацан с розовым медведем😂 | девушка) розовый любимый цвет,а я тут писала,что я парень?
А как ты получила? | даа,я этого и добивалась!
ахахаха, я уже получила свой вл) | Доя него да, для тебя нет😂
молодец что добилась | даа,я этого и добивалась!
а я у тебя спрашиваю | я тут тебя расхваливаю)
даа,я этого и добивалась! | ты теперь тут полностью розовая получается
Доя него да, для тебя нет😂 | внатуре?
а ты ничего🥺 даже деньги не скинул( | А я что🥺
Только залетел, не знаю что ты писала до хтог | девушка) розовый любимый цвет,а я тут писала,что я парень?
ты теперь тут полностью розовая получается | девушка) розовый любимый цвет,а я тут писала,что я парень?
А я что🥺 | я тут тебя расхваливаю)
внатуре? | Мне на карту 500 р, это первое😂
девушка) розовый любимый цвет,а я тут писала,что я парень? | Так, ты девушка чтоли? Почему розовый медведь🙂
Мне на карту 500 р, это первое😂 | Какие условия проекта?
будет-будет)) | взаимности не будет)
Так, ты девушка чтоли? Почему розовый медведь🙂 | дааа
я тоже рад :) | рад слышать тебя братик
взаимности не будет) | молодец!
я тут тебя расхваливаю) | Так я не понял мне деньги то переводить надо ?
молодец! | что слышал? фотографии?
дааа | занятой парень
рад слышать тебя братик | спасибо, братан!
что слышал? фотографии? | да, слышал
занятой парень | он рил занятой очень
спасибо, братан! | красава
да пытаемся потихоньку | вижу общение у вас идет полным ходом
А что ты мне скинул? Даже фрагменты не осиливаешь😆 придётся самой себе | ПРУФЫ БЛЯТЬ
он рил занятой очень | оу ну у 9классника много дел
красава | да, слышал
оу ну у 9классника много дел | ахахаха,ему делать нечего? он слишком занятой
да, слышал | хпкхпкхкпхпкха, ты спецом от него закрыла инсту наверное
ахахаха,ему делать нечего? он слишком занятой | а вдруг перешёл с фейка
подругу предала получается | Ммм понятно
а вдруг перешёл с фейка | ахахахаха,нее,он даже не переходил)
Ммм понятно | ахахаах,но ведь он никогда не врёт)
мне каеф | я арты делаю
ахахаах,но ведь он никогда не врёт) | Не верь ему, он ничего не скинет(
ПРУФЫ БЛЯТЬ | Не верь ему, он ничего не скинет(
жду братик | Тихо тихо щас такой разнос будет
ахахахаха,нее,он даже не переходил) | хпкхпкхкпхпкха, ты спецом от него закрыла инсту наверное
да ничё! | че куда
Тихо тихо щас такой разнос будет | кххпкхкпхпкхпкх он крут, может он просто тебя оценил в 2 рубля
Не верь ему, он ничего не скинет( | а ты мне несколько к скинешь?
Номеров🧐 | а ты мне несколько к скинешь?
хпкхпкхкпхпкха, ты спецом от него закрыла инсту наверное | слава богу,не видел даже,чтобы оценивать)
я арты делаю | ты уходишь?
че куда | ты уходишь?
а ты мне несколько к скинешь? | КИДАЙ НОМЕР В ДИ
ты уходишь? | ну все разбогатеешь
КИДАЙ НОМЕР В ДИ | это ты мне пруфы скинь, не в лс,а а сбере)
слава богу,не видел даже,чтобы оценивать) | кххпкхкпхпкхпкх он крут, может он просто тебя оценил в 2 рубля
кххпкхкпхпкхпкх он крут, может он просто тебя оценил в 2 рубля | он мне тут 2 руб предлагал,поэтому для него это большие деньги
а как их посмотреть ? | да
это ты мне пруфы скинь, не в лс,а а сбере) | ПРУФЫ
ясно. это же замечательно! | всё дали вл да нуууу
Ну вот и хорошо, больше заработаешь😂 | или так, только это уже онлик
ПРУФЫ | у него на них денег не хватит)
да | а ты арты делал?
а ты арты делал? | даааааа бро
или так, только это уже онлик | Хуй вместо Брика
) молодец, но с ленью нужно бороться | Мне похуй я мышь
ну все разбогатеешь | даааааа бро
для кого как =) | всю, а ты
Хуй вместо Брика | дайте идеи для артов
он мне тут 2 руб предлагал,поэтому для него это большие деньги | да там всего несколько к
даааааа бро | всё дали вл да нуууу
всё дали вл да нуууу | аххахахаха
всю, а ты | Кто какую музыку слушает?
да там всего несколько к | у него на них денег не хватит)
аххахахаха | кхакхпхпк пока не получу вл не уйду спать, сразу пойдем на выпускной
кхакхпхпк пока не получу вл не уйду спать, сразу пойдем на выпускной | бро мы ждём тебя розовым и идём праздновать встречу вайтлист выпускников ахах
понял | Мне похуй я мышь
у него на них денег не хватит) | бро вызови ночную девочку лучше
😅 | хкхпхахкхкапхпхк, а ты харош
🤫 | )
такого панчлайна никто не ожидал | ахахахха,меня ты не сможешь обидеть) обиды-это проектирование своих недостатков на других!
Мне похуй я мышь | друзья давайте это дружно жить
))) | )
Дашь контакт🥺 | бро вызови ночную девочку лучше
хкхпхахкхкапхпхк, а ты харош | звучит как записки в играх когда приходишь а там Сегодня я встретил зомби он отгрыз мне руку ме осталось недолго надеюсь доживу до завтра ахаха
извини | о чем вы вообще
бро мы ждём тебя розовым и идём праздновать встречу вайтлист выпускников ахах | я совсем перестал соображать, у меня 16,5
ахахахха,меня ты не сможешь обидеть) обиды-это проектирование своих недостатков на других! | тебя?
спс)))) | харош
бро вызови ночную девочку лучше | Поняли как ведьм на отсос разводить😎
) | а ты что получил их?
деда найти | для вл нужно какого-нибудь олда обидеть)
о чем вы вообще | *ухмыльнулся* можешь быть свободна
звучит как записки в играх когда приходишь а там Сегодня я встретил зомби он отгрыз мне руку ме осталось недолго надеюсь доживу до завтра ахаха | я совсем перестал соображать, у меня 16,5
а ты что получил их? | Кто там хотел пруфы собственной подруги увидеть🧐
я буду ждать тебя!) | ок
тебя? | для вл нужно какого-нибудь олда обидеть)
для вл нужно какого-нибудь олда обидеть) | хз, ты же считаешь меня токсиком
харош | 300+
ок | *ухмыльнулся* можешь быть свободна
*ухмыльнулся* можешь быть свободна | не хочу об этом вспоминать
Кто там хотел пруфы собственной подруги увидеть🧐 | ужас, что за мысли у тебя?
хз, ты же считаешь меня токсиком | ахахахах,а кого ты уже обижал? новеньких что-ли?
300+ | какой лвл?
Базар когда записывать будем | Ага
всех сподряд в мейне | кого мне еще обидеть нужно?
ахахахах,а кого ты уже обижал? новеньких что-ли? | кого мне еще обидеть нужно?
какой лвл? | Гриндим гриндим парни.
я совсем перестал соображать, у меня 16,5 | ну типа у меня 17.5 лвл
кого мне еще обидеть нужно? | треш, значит ты недостаточно токсик,чтобы вл получить
у,а ты горячая штучка) | ну типа у меня 17.5 лвл
не хочу об этом вспоминать | Нормально 
Сколько времени потратил?
крутяк | Заценил
Ага | 700к пиздюлей🥺
ужас, что за мысли у тебя? | Поняли как ведьм на отсос разводить😎
Нормально 
Сколько времени потратил? | ну типа у меня 17.5 лвл
700к пиздюлей🥺 | Да 700к парт
треш, значит ты недостаточно токсик,чтобы вл получить | ну типа у меня 17.5 лвл
Поняли как ведьм на отсос разводить😎 | -нет!м*нет🤫
Заценил | YO Чуваки зацените ещё один арт с Зубами замутил теперь цветные 🔥 https://discord.com/channels/921814203734585344/921814205206765616/941419896837902417
ну типа у меня 17.5 лвл | многовато, но на лвл больше меня
НБА | хорош, во что рубишь?
Да 700к парт | Пойдёшь со мной фит делать🥺
Пойдёшь со мной фит делать🥺 | Шимер на блоке
давайте | Шимер на блоке
многовато, но на лвл больше меня | 2,5 лвл
😅 | ежжи буда зачитай эу бля
-нет!м*нет🤫 | Пиздаа💖
красава, думаю на минт хватит | Даже 10😎
хорош, во что рубишь? | В пску шпилю
Шимер на блоке | ежжи буда зачитай эу бля
В пску шпилю | кто чем занят?
Даже 10😎 | есть 5 рублей?
2,5 лвл | тебе сколько ещё до 20ого лвла?
тебе сколько ещё до 20ого лвла? | 🤜 🤛
есть 5 рублей? | Пиздаа💖
🤜 🤛 | злостно желаю приятного аппетита
Пиздаа💖 | даа💗
злостно желаю приятного аппетита | я кста щас злостно ем😉
получается ты даже хуже чем токсик( | я кста щас злостно ем😉
мои арты воруют и я всё еще цвета ориентации танкистов | Почему злостно ?
анананна | а ты чо такой серьезный?
ты это сейчас понял? я же с самого начала не скрывала ничего | ты такая плохая получается)
Почему злостно ? | я кста щас злостно ем😉
вот=) | Ммм понятно
а ты чо такой серьезный? | чо ржешь?
я кста щас злостно ем😉 | теперь кушать хочу(
Ммм понятно | чо ржешь?
даа💗 | Мы всегда в твоём сердечке❤️
ты такая плохая получается) | подруга нет,я на нее плохо действую
теперь кушать хочу( | чикаладно
чо ржешь? | Он пруфы ищет хаха
подруга нет,я на нее плохо действую | сразу как родились стали токсиками
